t,id,x,y,z
1.5000,2,-2.2745,-2.8251,1.4412
1.5000,3,1.5173,2.2067,1.5885
1.5200,2,-2.4475,-3.0730,1.3941
1.5200,3,1.3145,1.9625,1.6192
1.5400,2,-2.6191,-3.3190,1.3434
1.5400,3,1.1133,1.7202,1.6457
1.5600,2,-2.7895,-3.5631,1.2891
1.5600,3,0.9136,1.4798,1.6681
1.5800,2,-2.9587,-3.8055,1.2314
1.5800,3,0.7154,1.2412,1.6864
1.6000,2,-3.1266,-4.0462,1.1701
1.6000,3,0.5188,1.0043,1.7006
1.6000,4,4.7723,4.9774,0.6020
1.6200,2,-3.2933,-4.2850,1.1054
1.6200,3,0.3235,0.7693,1.7108
1.6200,4,4.5465,4.7566,0.6993
1.6400,2,-3.4587,-4.5222,1.0371
1.6400,3,0.1298,0.5360,1.7170
1.6400,4,4.3225,4.5375,0.7919
1.6600,2,-3.6230,-4.7576,0.9655
1.6600,3,-0.0626,0.3044,1.7193
1.6600,4,4.1002,4.3202,0.8798
1.6800,2,-3.7861,-4.9914,0.8905
1.6800,3,-0.2535,0.0745,1.7175
1.6800,4,3.8797,4.1046,0.9631
1.7000,2,-3.9481,-5.2235,0.8120
1.7000,3,-0.4431,-0.1537,1.7119
1.7000,4,3.6609,3.8907,1.0418
1.7200,2,-4.1089,-5.4539,0.7302
1.7200,3,-0.6313,-0.3803,1.7024
1.7200,4,3.4438,3.6784,1.1160
1.7400,2,-4.2685,-5.6827,0.6451
1.7400,3,-0.8181,-0.6053,1.6891
1.7400,4,3.2283,3.4677,1.1858
1.7600,2,-4.4271,-5.9099,0.5566
1.7600,3,-1.0036,-0.8287,1.6719
1.7600,4,3.0144,3.2586,1.2510
1.7800,2,-4.5845,-6.1355,0.4648
1.7800,3,-1.1879,-1.0505,1.6509
1.7800,4,2.8021,3.0510,1.3119
1.8000,2,-4.7408,-6.3595,0.3698
1.8000,3,-1.3708,-1.2708,1.6261
1.8000,4,2.5914,2.8450,1.3684
1.8200,2,-4.8960,-6.5819,0.2715
1.8200,3,-1.5524,-1.4895,1.5976
1.8200,4,2.3822,2.6405,1.4206
1.8400,2,-5.0501,-6.8028,0.1699
1.8400,3,-1.7328,-1.7067,1.5653
1.8400,4,2.1745,2.4374,1.4684
1.8600,2,-5.2032,-7.0221,0.0652
1.8600,3,-1.9120,-1.9224,1.5294
1.8600,4,1.9683,2.2358,1.5120
1.8800,3,-2.0899,-2.1366,1.4898
1.8800,4,1.7635,2.0356,1.5514
1.9000,3,-2.2666,-2.3494,1.4465
1.9000,4,1.5602,1.8368,1.5866
1.9200,3,-2.4422,-2.5607,1.3996
1.9200,4,1.3583,1.6394,1.6176
1.9400,3,-2.6165,-2.7707,1.3491
1.9400,4,1.1578,1.4433,1.6444
1.9600,3,-2.7897,-2.9791,1.2950
1.9600,4,0.9586,1.2486,1.6672
1.9800,3,-2.9617,-3.1862,1.2373
1.9800,4,0.7608,1.0552,1.6858
2.0000,3,-3.1325,-3.3920,1.1761
2.0000,4,0.5644,0.8631,1.7005
2.0000,5,4.7773,3.8320,0.6014
2.0200,3,-3.3022,-3.5963,1.1114
2.0200,4,0.3692,0.6723,1.7111
2.0200,5,4.5562,3.6651,0.6981
2.0400,3,-3.4708,-3.7993,1.0432
2.0400,4,0.1753,0.4827,1.7177
2.0400,5,4.3367,3.4995,0.7902
2.0600,3,-3.6383,-4.0010,0.9715
2.0600,4,-0.0173,0.2944,1.7203
2.0600,5,4.1188,3.3350,0.8778
2.0800,3,-3.8047,-4.2013,0.8963
2.0800,4,-0.2086,0.1073,1.7190
2.0800,5,3.9023,3.1717,0.9608
2.1000,3,-3.9700,-4.4003,0.8177
2.1000,4,-0.3987,-0.0785,1.7138
2.1000,5,3.6874,3.0095,1.0393
2.1200,3,-4.1342,-4.5980,0.7358
2.1200,4,-0.5876,-0.2632,1.7047
2.1200,5,3.4739,2.8484,1.1133
2.1400,3,-4.2973,-4.7944,0.6504
2.1400,4,-0.7752,-0.4467,1.6917
2.1400,5,3.2618,2.6884,1.1830
2.1600,3,-4.4594,-4.9896,0.5617
2.1600,4,-0.9617,-0.6290,1.6749
2.1600,5,3.0511,2.5294,1.2482
2.1800,3,-4.6204,-5.1835,0.4696
2.1800,4,-1.1470,-0.8102,1.6543
2.1800,5,2.8419,2.3715,1.3091
2.2000,3,-4.7804,-5.3761,0.3742
2.2000,4,-1.3311,-0.9902,1.6299
2.2000,5,2.6340,2.2146,1.3657
2.2200,3,-4.9393,-5.5674,0.2754
2.2200,4,-1.5141,-1.1691,1.6017
2.2200,5,2.4274,2.0588,1.4180
2.2400,3,-5.0972,-5.7575,0.1734
2.2400,4,-1.6959,-1.3469,1.5697
2.2400,5,2.2222,1.9039,1.4660
2.2600,3,-5.2541,-5.9464,0.0682
2.2600,4,-1.8766,-1.5236,1.5341
2.2600,5,2.0182,1.7500,1.5098
2.2800,4,-2.0562,-1.6991,1.4947
2.2800,5,1.8156,1.5971,1.5494
2.3000,4,-2.2347,-1.8736,1.4516
2.3000,5,1.6142,1.4451,1.5848
2.3200,4,-2.4121,-2.0471,1.4049
2.3200,5,1.4140,1.2941,1.6161
2.3400,4,-2.5884,-2.2195,1.3546
2.3400,5,1.2151,1.1440,1.6433
2.3600,4,-2.7636,-2.3908,1.3006
2.3600,5,1.0174,0.9948,1.6664
2.3800,4,-2.9378,-2.5611,1.2431
2.3800,5,0.8208,0.8465,1.6854
2.4000,4,-3.1109,-2.7303,1.1819
2.4000,5,0.6255,0.6990,1.7004
2.4000,6,4.7824,2.6837,0.6009
2.4200,4,-3.2829,-2.8985,1.1172
2.4200,5,0.4313,0.5525,1.7113
2.4200,6,4.5663,2.5682,0.6971
2.4400,4,-3.4539,-3.0657,1.0490
2.4400,5,0.2382,0.4068,1.7183
2.4400,6,4.3515,2.4534,0.7889
2.4600,4,-3.6239,-3.2319,0.9773
2.4600,5,0.0463,0.2620,1.7213
2.4600,6,4.1381,2.3393,0.8761
2.4800,4,-3.7929,-3.3971,0.9020
2.4800,5,-0.1445,0.1180,1.7204
2.4800,6,3.9260,2.2260,0.9589
2.5000,4,-3.9608,-3.5614,0.8233
2.5000,5,-0.3342,-0.0251,1.7156
2.5000,6,3.7152,2.1133,1.0372
2.5200,4,-4.1278,-3.7246,0.7412
2.5200,5,-0.5228,-0.1674,1.7068
2.5200,6,3.5057,2.0013,1.1111
2.5400,4,-4.2937,-3.8868,0.6556
2.5400,5,-0.7103,-0.3089,1.6942
2.5400,6,3.2974,1.8900,1.1807
2.5600,4,-4.4587,-4.0481,0.5666
2.5600,5,-0.8968,-0.4496,1.6777
2.5600,6,3.0904,1.7794,1.2459
2.5800,4,-4.6226,-4.2084,0.4742
2.5800,5,-1.0822,-0.5895,1.6574
2.5800,6,2.8846,1.6694,1.3068
2.6000,4,-4.7856,-4.3678,0.3784
2.6000,5,-1.2665,-0.7286,1.6333
2.6000,6,2.6800,1.5600,1.3635
2.6200,4,-4.9476,-4.5261,0.2793
2.6200,5,-1.4498,-0.8669,1.6054
2.6200,6,2.4766,1.4513,1.4158
2.6400,4,-5.1086,-4.6836,0.1769
2.6400,5,-1.6321,-1.0045,1.5738
2.6400,6,2.2744,1.3432,1.4640
2.6600,4,-5.2687,-4.8401,0.0711
2.6600,5,-1.8134,-1.1413,1.5384
2.6600,6,2.0733,1.2358,1.5080
2.6800,5,-1.9936,-1.2773,1.4992
2.6800,6,1.8734,1.1289,1.5478
2.7000,5,-2.1729,-1.4126,1.4564
2.7000,6,1.6745,1.0226,1.5834
2.7200,5,-2.3511,-1.5471,1.4098
2.7200,6,1.4768,0.9169,1.6149
2.7400,5,-2.5284,-1.6808,1.3596
2.7400,6,1.2802,0.8118,1.6424
2.7600,5,-2.7047,-1.8139,1.3058
2.7600,6,1.0846,0.7073,1.6657
2.7800,5,-2.8801,-1.9462,1.2483
2.7800,6,0.8900,0.6033,1.6850
2.8000,5,-3.0544,-2.0777,1.1872
2.8000,6,0.6966,0.4999,1.7003
2.8000,7,4.7865,1.5325,0.6005
2.8200,5,-3.2278,-2.2086,1.1226
2.8200,6,0.5041,0.3971,1.7116
2.8200,7,4.5742,1.4653,0.6964
2.8400,5,-3.4003,-2.3387,1.0543
2.8400,6,0.3127,0.2947,1.7188
2.8400,7,4.3632,1.3986,0.7879
2.8600,5,-3.5718,-2.4681,0.9825
2.8600,6,0.1222,0.1930,1.7222
2.8600,7,4.1534,1.3322,0.8749
2.8800,5,-3.7424,-2.5969,0.9072
2.8800,6,-0.0672,0.0917,1.7216
2.8800,7,3.9448,1.2662,0.9575
2.9000,5,-3.9120,-2.7249,0.8284
2.9000,6,-0.2556,-0.0090,1.7170
2.9000,7,3.7373,1.2006,1.0357
2.9200,5,-4.0807,-2.8522,0.7461
2.9200,6,-0.4431,-0.1092,1.7086
2.9200,7,3.5311,1.1354,1.1096
2.9400,5,-4.2485,-2.9788,0.6603
2.9400,6,-0.6296,-0.2089,1.6963
2.9400,7,3.3260,1.0705,1.1791
2.9600,5,-4.4153,-3.1047,0.5710
2.9600,6,-0.8151,-0.3081,1.6801
2.9600,7,3.1220,1.0060,1.2443
2.9800,5,-4.5813,-3.2299,0.4784
2.9800,6,-0.9997,-0.4067,1.6601
2.9800,7,2.9191,0.9418,1.3052
3.0000,5,-4.7463,-3.3544,0.3823
3.0000,6,-1.1834,-0.5049,1.6362
3.0000,7,2.7173,0.8780,1.3619
3.0200,5,-4.9104,-3.4782,0.2828
3.0200,6,-1.3661,-0.6025,1.6086
3.0200,7,2.5166,0.8145,1.4144
3.0400,5,-5.0736,-3.6014,0.1799
3.0400,6,-1.5479,-0.6997,1.5771
3.0400,7,2.3169,0.7513,1.4626
3.0600,5,-5.2359,-3.7238,0.0737
3.0600,6,-1.7288,-0.7964,1.5419
3.0600,7,2.1183,0.6885,1.5067
3.0800,6,-1.9088,-0.8926,1.5030
3.0800,7,1.9207,0.6260,1.5466
3.1000,6,-2.0878,-0.9883,1.4603
3.1000,7,1.7241,0.5638,1.5824
3.1200,6,-2.2660,-1.0835,1.4140
3.1200,7,1.5285,0.5020,1.6141
3.1400,6,-2.4433,-1.1782,1.3639
3.1400,7,1.3338,0.4404,1.6417
3.1600,6,-2.6197,-1.2725,1.3101
3.1600,7,1.1402,0.3792,1.6653
3.1800,6,-2.7952,-1.3663,1.2527
3.1800,7,0.9475,0.3182,1.6848
3.2000,6,-2.9698,-1.4596,1.1917
3.2000,7,0.7558,0.2576,1.7003
3.2000,8,4.7867,0.3876,0.6003
3.2200,6,-3.1435,-1.5525,1.1271
3.2200,7,0.5650,0.1972,1.7118
3.2200,8,4.5746,0.3752,0.6961
3.2400,6,-3.3164,-1.6449,1.0588
3.2400,7,0.3751,0.1372,1.7193
3.2400,8,4.3637,0.3630,0.7874
3.2600,6,-3.4884,-1.7368,0.9870
3.2600,7,0.1861,0.0774,1.7228
3.2600,8,4.1540,0.3507,0.8744
3.2800,6,-3.6595,-1.8283,0.9116
3.2800,7,-0.0019,0.0179,1.7224
3.2800,8,3.9454,0.3386,0.9569
3.3000,6,-3.8298,-1.9193,0.8326
3.3000,7,-0.1891,-0.0413,1.7181
3.3000,8,3.7380,0.3265,1.0350
3.3200,6,-3.9992,-2.0098,0.7502
3.3200,7,-0.3753,-0.1002,1.7099
3.3200,8,3.5316,0.3145,1.1088
3.3400,6,-4.1677,-2.0999,0.6642
3.3400,7,-0.5607,-0.1588,1.6978
3.3400,8,3.3264,0.3026,1.1783
3.3600,6,-4.3354,-2.1895,0.5748
3.3600,7,-0.7452,-0.2172,1.6818
3.3600,8,3.1223,0.2907,1.2434
3.3800,6,-4.5023,-2.2787,0.4818
3.3800,7,-0.9289,-0.2753,1.6620
3.3800,8,2.9192,0.2789,1.3044
3.4000,6,-4.6682,-2.3674,0.3855
3.4000,7,-1.1116,-0.3331,1.6383
3.4000,8,2.7171,0.2671,1.3610
3.4200,6,-4.8334,-2.4557,0.2856
3.4200,7,-1.2935,-0.3906,1.6109
3.4200,8,2.5161,0.2554,1.4135
3.4400,6,-4.9977,-2.5435,0.1824
3.4400,7,-1.4746,-0.4479,1.5796
3.4400,8,2.3161,0.2437,1.4618
3.4600,6,-5.1611,-2.6309,0.0758
3.4600,7,-1.6548,-0.5049,1.5446
3.4600,8,2.1171,0.2322,1.5059
3.4800,7,-1.8342,-0.5616,1.5058
3.4800,8,1.9191,0.2206,1.5459
3.5000,7,-2.0128,-0.6181,1.4632
3.5000,8,1.7221,0.2092,1.5817
3.5200,7,-2.1905,-0.6743,1.4170
3.5200,8,1.5260,0.1977,1.6135
3.5400,7,-2.3674,-0.7303,1.3670
3.5400,8,1.3309,0.1864,1.6412
3.5600,7,-2.5435,-0.7860,1.3133
3.5600,8,1.1367,0.1751,1.6648
3.5800,7,-2.7187,-0.8414,1.2560
3.5800,8,0.9434,0.1638,1.6844
3.6000,7,-2.8932,-0.8966,1.1950
3.6000,8,0.7510,0.1526,1.6999
3.6000,9,4.7875,-0.7564,0.6003
3.6200,7,-3.0668,-0.9515,1.1304
3.6200,8,0.5595,0.1415,1.7115
3.6200,9,4.5763,-0.7131,0.6962
3.6400,7,-3.2396,-1.0061,1.0621
3.6400,8,0.3689,0.1304,1.7191
3.6400,9,4.3663,-0.6700,0.7875
3.6600,7,-3.4116,-1.0605,0.9902
3.6600,8,0.1792,0.1193,1.7227
3.6600,9,4.1574,-0.6271,0.8745
3.6800,7,-3.5828,-1.1147,0.9148
3.6800,8,-0.0096,0.1083,1.7224
3.6800,9,3.9498,-0.5845,0.9570
3.7000,7,-3.7532,-1.1686,0.8358
3.7000,8,-0.1976,0.0974,1.7182
3.7000,9,3.7432,-0.5421,1.0351
3.7200,7,-3.9227,-1.2222,0.7532
3.7200,8,-0.3847,0.0865,1.7101
3.7200,9,3.5378,-0.5000,1.1089
3.7400,7,-4.0915,-1.2756,0.6671
3.7400,8,-0.5709,0.0757,1.6981
3.7400,9,3.3335,-0.4581,1.1784
3.7600,7,-4.2595,-1.3287,0.5775
3.7600,8,-0.7563,0.0649,1.6822
3.7600,9,3.1303,-0.4164,1.2435
3.7800,7,-4.4266,-1.3816,0.4844
3.7800,8,-0.9409,0.0541,1.6624
3.7800,9,2.9282,-0.3749,1.3044
3.8000,7,-4.5930,-1.4342,0.3878
3.8000,8,-1.1246,0.0434,1.6389
3.8000,9,2.7271,-0.3337,1.3611
3.8200,7,-4.7585,-1.4866,0.2878
3.8200,8,-1.3075,0.0328,1.6115
3.8200,9,2.5270,-0.2926,1.4136
3.8400,7,-4.9233,-1.5387,0.1843
3.8400,8,-1.4896,0.0222,1.5803
3.8400,9,2.3280,-0.2518,1.4618
3.8600,7,-5.0872,-1.5905,0.0774
3.8600,8,-1.6709,0.0116,1.5453
3.8600,9,2.1300,-0.2111,1.5059
3.8800,8,-1.8514,0.0011,1.5065
3.8800,9,1.9330,-0.1707,1.5458
3.9000,8,-2.0310,-0.0093,1.4640
3.9000,9,1.7369,-0.1305,1.5817
3.9200,8,-2.2099,-0.0198,1.4178
3.9200,9,1.5418,-0.0905,1.6134
3.9400,8,-2.3879,-0.0301,1.3679
3.9400,9,1.3477,-0.0506,1.6410
3.9600,8,-2.5652,-0.0404,1.3142
3.9600,9,1.1545,-0.0110,1.6646
3.9800,8,-2.7417,-0.0507,1.2569
3.9800,9,0.9622,0.0284,1.6841
4.0000,8,-2.9173,-0.0609,1.1959
4.0000,9,0.7709,0.0677,1.6997
4.0200,8,-3.0922,-0.0711,1.1312
4.0200,9,0.5805,0.1068,1.7112
4.0200,10,4.7892,-1.9595,0.6006
4.0400,8,-3.2663,-0.0813,1.0630
4.0400,9,0.3909,0.1457,1.7187
4.0400,10,4.5796,-1.8595,0.6967
4.0600,8,-3.4396,-0.0913,0.9911
4.0600,9,0.2023,0.1844,1.7223
4.0600,10,4.3714,-1.7602,0.7882
4.0800,8,-3.6121,-0.1014,0.9156
4.0800,9,0.0145,0.2229,1.7220
4.0800,10,4.1644,-1.6615,0.8753
4.1000,8,-3.7838,-0.1114,0.8365
4.1000,9,-0.1724,0.2612,1.7177
4.1000,10,3.9586,-1.5634,0.9579
4.1200,8,-3.9547,-0.1213,0.7539
4.1200,9,-0.3584,0.2994,1.7095
4.1200,10,3.7540,-1.4658,1.0361
4.1400,8,-4.1248,-0.1312,0.6677
4.1400,9,-0.5436,0.3374,1.6975
4.1400,10,3.5506,-1.3688,1.1100
4.1600,8,-4.2942,-0.1411,0.5780
4.1600,9,-0.7279,0.3752,1.6815
4.1600,10,3.3484,-1.2724,1.1795
4.1800,8,-4.4627,-0.1509,0.4848
4.1800,9,-0.9114,0.4129,1.6618
4.1800,10,3.1474,-1.1765,1.2446
4.2000,8,-4.6305,-0.1607,0.3881
4.2000,9,-1.0940,0.4503,1.6382
4.2000,10,2.9474,-1.0812,1.3055
4.2200,8,-4.7975,-0.1704,0.2880
4.2200,9,-1.2759,0.4876,1.6107
4.2200,10,2.7486,-0.9863,1.3621
4.2400,8,-4.9637,-0.1801,0.1843
4.2400,9,-1.4568,0.5248,1.5795
4.2400,10,2.5509,-0.8920,1.4145
4.2600,8,-5.1291,-0.1897,0.0773
4.2600,9,-1.6370,0.5617,1.5445
4.2600,10,2.3542,-0.7983,1.4627
4.2800,9,-1.8164,0.5985,1.5057
4.2800,10,2.1586,-0.7050,1.5067
4.3000,9,-1.9949,0.6352,1.4632
4.3000,10,1.9641,-0.6122,1.5465
4.3200,9,-2.1726,0.6716,1.4169
4.3200,10,1.7706,-0.5199,1.5822
4.3400,9,-2.3495,0.7079,1.3669
4.3400,10,1.5781,-0.4282,1.6138
4.3600,9,-2.5257,0.7441,1.3133
4.3600,10,1.3866,-0.3368,1.6413
4.3800,9,-2.7010,0.7800,1.2559
4.3800,10,1.1962,-0.2460,1.6647
4.4000,9,-2.8755,0.8158,1.1949
4.4000,10,1.0066,-0.1556,1.6841
4.4200,9,-3.0492,0.8515,1.1302
4.4200,10,0.8181,-0.0657,1.6995
4.4400,9,-3.2221,0.8870,1.0620
4.4400,10,0.6305,0.0237,1.7108
4.4400,11,4.7901,-3.1639,0.6011
4.4600,9,-3.3943,0.9223,0.9901
4.4600,10,0.4439,0.1127,1.7182
4.4600,11,4.5817,-3.0089,0.6975
4.4800,9,-3.5656,0.9574,0.9146
4.4800,10,0.2582,0.2013,1.7216
4.4800,11,4.3747,-2.8549,0.7894
4.5000,9,-3.7362,0.9924,0.8355
4.5000,10,0.0734,0.2894,1.7211
4.5000,11,4.1690,-2.7019,0.8767
4.5200,9,-3.9059,1.0273,0.7529
4.5200,10,-0.1104,0.3771,1.7167
4.5200,11,3.9647,-2.5499,0.9596
4.5400,9,-4.0749,1.0619,0.6667
4.5400,10,-0.2934,0.4643,1.7083
4.5400,11,3.7617,-2.3989,1.0379
4.5600,9,-4.2431,1.0964,0.5770
4.5600,10,-0.4755,0.5512,1.6961
4.5600,11,3.5601,-2.2489,1.1119
4.5800,9,-4.4105,1.1308,0.4838
4.5800,10,-0.6566,0.6376,1.6800
4.5800,11,3.3597,-2.0999,1.1815
4.6000,9,-4.5771,1.1650,0.3872
4.6000,10,-0.8369,0.7235,1.6600
4.6000,11,3.1605,-1.9517,1.2467
4.6200,9,-4.7429,1.1990,0.2870
4.6200,10,-1.0163,0.8091,1.6363
4.6200,11,2.9626,-1.8045,1.3075
4.6400,9,-4.9079,1.2329,0.1834
4.6400,10,-1.1948,0.8942,1.6087
4.6400,11,2.7659,-1.6582,1.3641
4.6600,9,-5.0722,1.2665,0.0764
4.6600,10,-1.3725,0.9790,1.5773
4.6600,11,2.5704,-1.5128,1.4164
4.6800,10,-1.5493,1.0633,1.5422
4.6800,11,2.3761,-1.3683,1.4645
4.7000,10,-1.7253,1.1472,1.5033
4.7000,11,2.1830,-1.2246,1.5083
4.7200,10,-1.9004,1.2307,1.4607
4.7200,11,1.9910,-1.0818,1.5480
4.7400,10,-2.0746,1.3138,1.4143
4.7400,11,1.8001,-0.9398,1.5835
4.7600,10,-2.2481,1.3965,1.3643
4.7600,11,1.6104,-0.7987,1.6149
4.7800,10,-2.4207,1.4788,1.3105
4.7800,11,1.4217,-0.6583,1.6422
4.8000,10,-2.5924,1.5607,1.2531
4.8000,11,1.2341,-0.5188,1.6654
4.8200,10,-2.7634,1.6422,1.1921
4.8200,11,1.0476,-0.3801,1.6845
4.8400,10,-2.9335,1.7234,1.1274
4.8400,11,0.8621,-0.2421,1.6996
4.8600,10,-3.1028,1.8041,1.0591
4.8600,11,0.6777,-0.1049,1.7107
4.8600,12,4.7897,-4.3682,0.6017
